Quote,Date
duno why i still have gold for xbox never use it lol ,11 May 2018
British Purple Nugget,????
how the fuck do we disable this fucking fan mail shit im sick of seeing it in my damn inv FUCK OFF,9 May 2018
6 HOURS of trying to become thanos in fortnite and i give up cba with this fucking shit game mode,8 May 2018
cant use alt 1 the fuck jagex,8 May 2018
this quest is the most stupid thing to happen to rs3 since there being no fucking easter event its the most pointless thing ive ever done,8 May 2018
literally impossible to get to play as thanos literally fucking bullshit,8 May 2018
seeing all these eurovision tweets fk off,12 May 2018
wonder when im going to get my final trio mission been hunting it for like 3+ months now (with the totoms set) like this is ridiculous,13 May 2018
idk pcs but im getting 30/60fps on ultra on my pc i just updated my drivers and have rs,disc, skype, and 2 chrome windows open so it shouldnt be lagging any help pls,13 May 2018
i find it interesting how when you dm someone and they dont reply yet you see them active in disc just like go and fuck off please cba with ur shit,15 May 2018
